Min Dist,Classification
1.5567311,INF
1.55684865,INF
1.55911231,INF
1.56175125,INF
1.56181514,INF
1.56424105,INF
1.56463897,INF
1.56474566,INF
1.5673902,INF
1.56776667,INF
1.56850028,INF
1.57112563,INF
1.57145619,INF
1.57189095,IND
1.57470715,INF
1.57683706,IND
1.57850266,INF
1.5801605,INF
1.58073759,INF
1.59182906,INF
1.60102153,INF
1.6017977,IND
1.60300672,IND
1.60350585,INF
1.60386169,INF
1.60415161,IND
1.60458899,INF
1.60523272,IND
1.60625064,INF
1.60644948,INF
1.60720551,INF
1.61519063,INF
1.61991119,INF
1.62118447,INF
1.62688315,INF
1.63056505,INF
1.63858342,INF
1.64126086,INF
1.64880788,INF
1.65395963,INF
1.66655481,INF
1.6687417,INF
1.66931474,INF
1.67078686,INF
1.67669582,INF
1.68049777,INF
1.68305898,INF
1.68325126,INF
1.68605995,INF
1.69322526,IND
1.69662559,INF
1.71191704,IND
1.71782923,INF
1.71931756,INF
1.72050655,INF
1.72152638,INF
1.72986245,IND
1.73027706,IND
1.73220718,INF
1.73391581,INF
1.73957491,INF
1.74155271,INF
1.74288929,INF
1.74365747,IND
1.75101256,INF
1.75264823,IND
1.75293517,IND
1.75316536,INF
1.75449169,INF
1.75475037,INF
1.75565839,INF
1.75683701,INF
1.76250529,INF
1.76297104,IND
1.76641977,IND
1.76801383,INF
1.76857734,INF
1.7733593,INF
1.77853835,MEAS
1.7816391,INF
1.78354788,INF
1.78566658,INF
1.78838491,INF
1.78880203,MEAS
1.79122174,INF
1.79213417,INF
1.79304647,INF
1.7934351,INF
1.794837,INF
1.79517317,INF
1.79589307,INF
1.79683244,INF
1.79846025,INF
1.80048466,INF
1.8057611,INF
1.80816436,INF
1.81312418,INF
1.81484783,INF
1.81495786,INF
1.81950176,IND
1.82054937,INF
1.82396924,INF
1.82524395,INF
1.82678628,IND
1.82948732,INF
1.83307076,INF
1.83689332,INF
1.84226143,INF
1.84440255,MEAS
1.8459152,MEAS
1.84645069,MEAS
1.84649622,MEAS
1.84702933,MEAS
1.84749687,MEAS
1.85150683,MEAS
1.85624671,MEAS
1.85830033,MEAS
1.85959291,MEAS
1.86076295,MEAS
1.86495149,MEAS
1.8658669,MEAS
1.86614394,MEAS
1.86689544,MEAS
1.8730979,MEAS
1.87465525,MEAS
1.87505794,MEAS
1.87618721,MEAS
1.87886512,MEAS
1.88012636,MEAS
1.88015711,MEAS
1.88163662,MEAS
1.88456225,MEAS
1.88593972,MEAS
1.88759029,MEAS
1.88890529,MEAS
1.89079702,MEAS
1.89658809,IND
1.89670789,INF
1.90471637,INF
1.90680957,INF
1.90685129,INF
1.91539454,IND
1.91810036,INF
1.92104375,INF
1.92135942,INF
1.92227793,INF
1.92309499,INF
1.92358887,INF
1.92497647,INF
1.92577517,INF
1.9264406,INF
1.92752266,IND
1.92798102,INF
1.9295975,MEAS
1.93128991,MEAS
1.9322226,MEAS
1.9332726,MEAS
1.93355584,MEAS
1.93377173,MEAS
1.93406463,MEAS
1.934641,MEAS
1.93514585,MEAS
1.93535352,MEAS
1.93572783,MEAS
1.9363867,MEAS
1.93712234,MEAS
1.94458747,MEAS
1.94672763,MEAS
1.94675815,MEAS
1.95714116,MEAS
1.95835829,MEAS
1.96118653,MEAS
1.9613117,MEAS
1.96280122,MEAS
1.96862507,MEAS
1.97087741,MEAS
1.97102094,MEAS
1.97354031,MEAS
1.97461307,MEAS
1.97559988,MEAS
1.97719395,MEAS
1.97880256,MEAS
1.98309493,MEAS
1.99078286,MEAS
1.99586916,MEAS
1.99669707,MEAS
1.99760175,MEAS
2.00429296,MEAS
2.00489593,MEAS
2.00619984,MEAS
2.00941253,MEAS
2.0096457,MEAS
2.00965691,MEAS
2.00981236,MEAS
2.01092172,MEAS
2.01272941,MEAS
2.01522326,MEAS
2.01839161,MEAS
2.02222228,MEAS
2.02766681,MEAS
2.02804661,MEAS
2.02986789,MEAS
2.03433418,MEAS
2.03618121,MEAS
2.03670311,MEAS
2.03911114,MEAS
2.04316568,MEAS
2.04370522,MEAS
2.04775977,MEAS
2.04904675,MEAS
2.05033374,MEAS
2.05608392,MEAS
2.06663489,MEAS
2.07271433,MEAS
2.07995057,MEAS
2.08174276,INF
2.08280277,INF
2.09364581,INF
2.0947504,INF
2.09608293,INF
2.09664369,INF
2.0987215,INF
2.10480213,INF
2.10604048,IND
2.10732675,INF
2.10841489,INF
2.11232209,INF
2.12141776,INF
2.12194586,INF
2.1225338,INF
2.12523127,INF
2.12977171,INF
2.13045073,INF
2.13175368,INF
2.13331437,INF
2.13467669,INF
2.13614368,INF
2.13715959,INF
2.14333606,INF
2.15480614,INF
2.1553371,INF
2.15738535,INF
2.16596293,INF
2.16966987,INF
2.17349291,INF
2.17806959,INF
2.17992544,INF
2.18316436,INF
2.18390369,INF
2.18538475,INF
2.18686008,INF
2.18767667,INF
2.18966126,IND
2.191082,INF
2.19411826,INF
2.19447637,INF
2.20423198,INF
2.21024823,INF
2.21265411,INF
2.2148602,IND
2.21536851,INF
2.215523,INF
2.22029328,IND
2.22986984,INF
2.23264956,INF
2.23449373,INF
2.2365303,INF
2.23729587,INF
2.23760676,INF
2.23775482,INF
2.24039388,IND
2.24049497,INF
2.24099135,IND
2.24126649,INF
2.2431643,INF
2.24364471,IND
2.24466085,INF
2.24611807,INF
2.24722505,INF
2.24887848,INF
2.2503109,INF
2.25444627,INF
2.25489807,INF
2.25758672,INF
2.26122379,INF
2.26430702,INF
2.26682734,INF
2.26785564,INF
2.26788759,INF
2.2686615,INF
2.26870131,INF
2.26935172,INF
2.27127743,INF
2.27479386,IND
2.27479744,IND
2.27561998,IND
2.27592731,INF
2.27941513,IND
2.28063178,INF
2.28097486,INF
2.28135562,INF
2.28326416,INF
2.28682256,INF
2.29128146,INF
2.2957921,INF
2.29813862,INF
2.29956222,INF
2.30606103,INF
2.30878472,INF
2.3104248,INF
2.31081128,INF
2.31150222,INF
2.31308103,INF
2.31309628,INF
2.31325603,INF
2.31332922,INF
2.313591,INF
2.31410027,INF
2.31478381,INF
2.31564069,INF
2.31667066,INF
2.31787276,INF
2.31821942,INF
2.32167125,INF
2.32205153,IND
2.32222295,INF
2.32266736,INF
2.32289362,INF
2.32468581,IND
2.32568836,INF
2.330194,INF
2.3305428,INF
2.33227849,INF
2.33389592,INF
2.33389592,INF
2.33389592,INF
2.33389592,INF
2.33389592,INF
2.3345418,IND
2.33502054,INF
2.33574462,IND
2.33803248,INF
2.34013534,INF
2.34112048,INF
2.34191394,INF
2.3446548,INF
2.34512115,INF
2.34553361,INF
2.34555697,INF
2.34564137,INF
2.34873033,IND
2.34972954,INF
2.35006475,IND
2.35121036,INF
2.35157323,INF
2.35336781,INF
2.35565591,IND
2.35629535,INF
2.35825396,INF
2.36110401,INF
2.36120963,IND
2.36128402,IND
2.3655293,INF
2.36613655,IND
2.36618781,INF
2.36623168,INF
2.37004638,IND
